id,title,status,image,summary
dem-001,海外留学生创业支持,待处理,images/demand/demand-1.svg,申请创业政策辅导与场地资源对接。
dem-002,侨资工厂选址咨询,推进中,images/demand/demand-2.svg,计划落地食品加工项目，需要园区与能耗评估建议。
dem-003,跨境贸易法律咨询,已完成,images/demand/demand-3.svg,已完成合同条款合规审查与风险提示。
dem-004,侨企品牌出海推广,待处理,images/demand/demand-4.svg,希望制定面向东南亚市场的品牌传播方案。
dem-005,侨商投融资路演申请,推进中,images/demand/demand-1.svg,拟组织项目路演并对接产业基金与银行授信。
dem-006,跨境合规审计支持,待处理,images/demand/demand-2.svg,希望开展目标国税务与合规预评估。
dem-007,海外仓落地咨询,推进中,images/demand/demand-3.svg,计划在印尼建设区域中转仓并优化配送路径。
dem-008,多语种品牌包装设计,待处理,images/demand/demand-4.svg,需适配马来语、印尼语和英语市场宣传。
dem-009,侨企人才引进对接,待处理,images/demand/demand-1.svg,希望引进熟悉东盟市场运营的复合型人才。
dem-010,国际商标注册辅导,已完成,images/demand/demand-2.svg,已完成新加坡与印尼两地商标注册流程咨询。
dem-011,海外渠道拓展合作,推进中,images/demand/demand-3.svg,对接本地经销商并建立分销体系试点。
dem-012,跨境电商平台入驻辅导,待处理,images/demand/demand-4.svg,需完成平台规则培训与店铺运营流程梳理。
